adress,rating,nbreviews,latitude,longitude,distance
"Mairie du 18e 49 rue des Cloys | On corner with Rue Mont Calm, 75018 Paris, France",4,208,48.8929857,2.3289653,2634.937999390576
"6 avenue de New York, 75016 Paris, France",4.5,624,48.864255,2.2908249,3450.941480684721
"36 rue de Grenelle | 75007, 75007 Paris, France",4,762,48.8539593,2.3188166,2227.0756730077223
"226 rue de Rivoli, 75001 Paris, France",4,10842,48.8650947,2.3197132,1387.787510700073
"20 rue d Artois, 75008 Paris, France",4,256,48.8734711,2.2982827,2874.519153294093
"21 rue Marbeuf, 75008 Paris, France",3.5,5,48.8686558,2.2946236,3118.1705143596296
"38 rue Reaumur, 75003 Paris, France",4.5,350,48.8653975,2.3486398,975.3598090368324
"188 avenue Jean Jaures, 75019 Paris, France",4,1158,48.8879856,2.3910409,4419.39197687954
"14 rue de Monttessuy, 75007 Paris, France",4.5,978,48.859723,2.2993088,2995.3818858838126
"52 rue Francois Miron | 75004 PARIS, 75004 Paris, France",4.5,1194,48.8553899,2.3487857,1823.8604517152366
"5 rue Dante, 75005 Paris, France",4,173,48.8511903,2.3380184,2083.2711246508593
"20 rue des Fosses Saint Bernard, 75005 Paris, France",4.5,285,48.8485715,2.3459406,2458.0191466929527
"25 rue le Peletier | 75009, 75009 Paris, France",4,1458,48.8732867,2.3298733,654.5358191785558
"6 rue Coquilliere, 75001 Paris, France",3.5,4175,48.8635006,2.334973,732.1504521985629
"40 rue Gabriel Lame, 75012 Paris, France",4,1202,48.8348537,2.3773752,4882.344918491756
"30, rue de St-Louis-en-l'Ile, 75004 Paris, France",4,589,48.8516036,2.3487478,2204.396726694457
"41 rue de Croulebarbe, 75013 Paris, France",4,288,48.8322319,2.3505938,4303.376562529452
"54 rue de Bourgogne, 75007 Paris, France",4.5,535,48.8563061,2.3170118,2115.2972007451713
"63 rue Falguiere, 75015 Paris, France",4,391,48.8405664,2.3131714,3707.5340774005
"32 rue Saint Marc, 75002 Paris, France",4,831,48.870741,2.338718,143.18052675539465
"1 rue Jacquard, 75011 Paris, France",4,293,48.8644668,2.3730845,2692.969634190968
"44 rue Jean Goujon, 75008 Paris, France",4,184,48.8653642,2.304061,2477.1300776282483
"15 Place Vendome, 75001 Paris, France",4,201,48.8680984,2.3201384,1265.1070775410192
"38 rue des Tournelles | Bastille, Place des Vosges, Chemin vert, Opera de Bastille, 75004 Paris, France (Formerly Baracane)",4.5,855,48.8555814,2.3586246,2234.90107310196
"72 quai de l Hotel de Ville, 75004 Paris, France",4.5,739,48.8547957,2.3457068,1792.6740951617328
"28 rue le Sueur, 75116 Paris, France",4,117,48.8756388,2.2786141,4332.623879365939
"20 rue Saint Martin, 75004 Paris, France",4,1727,48.8583751,2.3501075,1592.8580217538765
"40 rue de l Universite, 75007 Paris, France",4.5,183,48.8576712,2.3196448,1872.392621489928
"Boulevard Haussmann | 97, Boulevard Haussmann, 75008 Paris, France",4.5,287,48.8747523,2.3094531,2100.1873404656
"4 rue des Petits Champs, 75002 Paris, France",4,786,48.866353,2.3307306,617.9921019056442
"3 rue Racine, 75006 Paris, France",4,1933,48.8501599,2.3420039,2224.79923048061
"49 rue des Ecoles, 75005 Paris, France",3.5,1008,48.8498437,2.3347151,2239.634496841518
"5 rue de la Bastille, 75004 Paris, France",3.5,3909,48.8539522,2.3591305,2392.191710850705
"55 quai de Bourbon, 75004 Paris, France",3.5,502,48.8530945,2.3446218,1947.6418108003343
"7, cours des Petites Ecuries, 75010 Paris, France",4,1087,48.872508,2.3442054,586.96989551335
"16, Rue du Faubourg | Saint-Denis, 75010 Paris, France",3.5,1954,48.8705816,2.3445129,539.0408142750297
"21 B boulevard Diderot, 75012 Paris, France",3.5,2092,48.8460031,2.3726838,3715.599823246666
"2 Place des Ternes, 75008 Paris, France",3.5,1419,48.8780084,2.2896737,3591.228829499257
"151 boulevard Saint Germain, 75006 Paris, France",3.5,2872,48.8536621,2.3236645,2061.4455099248303
"45 boulevard Raspail, 75006 Paris, France",3.5,282,48.851113,2.3185614,2496.7968290284643
"115 rue Saint Lazare | Face à la Gare Saint-Lazare, 75008 Paris, France",3.5,2053,48.8753303,2.3171488,1585.9949701860264
"17 rue des Ecoles, 75005 Paris, France",4,1016,48.8477714,2.3424022,2491.697608243788
"8 rue Boissy D Anglas, 75008 Paris, France",3.5,2903,48.8672887,2.312291,1846.110499139618
"117 avenue du General Leclerc, 75014 Paris, France",3,205,48.8243399,2.317436,5270.617913449682
"6 rue d Armaille, 75017 Paris, France",4.5,511,48.8774825,2.2833853,4025.5071043867865
"139 rue Saint Dominique, 75007 Paris, France",4,2638,48.858128,2.2929132,3495.604309319609
"172 boulevard Saint Germain, 75006 Paris, France",3.5,3305,48.8541585,2.3238498,2006.5800637460873
"5 Place de l'Opera, 75009 Paris, France",4,4342,48.8709436,2.3229832,1046.9452085432736
"11 rue Augereau, 75007 Paris, France",4.5,446,48.8574236,2.2933175,3498.5862614774537
"77 rue de Varenne, 75007 Paris, France",4,258,48.8553119,2.3157717,2257.8149935588053
"34 rue Etienne Marcel, 75002 Paris, France",3.5,291,48.8649389,2.3366245,555.3286179860783
"93 avenue Raymond Poincare, 75116 Paris, France",3,96,48.8705975,2.2848417,3831.1451297711005
"25 avenue Montaigne | Plaza Athenee, 75008 Paris, France",4.5,829,48.8663086,2.2955545,3073.3139541664495
"62 rue Mazarine, 75006 Paris, France",4,1213,48.8545626,2.3379249,1708.249239562386
"41 rue Saint Andre des Arts, 75006 Paris, France",3.5,1153,48.8533032,2.3410216,1868.3899587498645
"22 rue du Grenier Saint Lazare, 75003 Paris, France",4,1019,48.8630446,2.3534095,1409.8941090979415
"44 rue Saint Sabin, 75011 Paris, France",4,375,48.8582151,2.3606189,2150.574107875943
"31 Avenue George V | Four Seasons Hôtel George V, 75008 Paris, France",4.5,2246,48.8687441,2.2920841,3303.3306610027503
"74 boulevard de la Tour Maubourg, 75007 Paris, France",4.5,1193,48.8561211,2.3008721,3069.24812383035
"1 rue du petit Pont, 75005 Paris, France",2.5,1011,48.8526977,2.3380245,1915.7426922017269
"6 Place Saint-Germain des Pres, 75006 Paris, France",4,3520,48.8541176,2.3241416,2000.2622051302321
"24 boulevard Malesherbes | Hotel Hyatt Paris Madeleine, 75008 Paris, France",4,101,48.872829,2.3128749,1809.1940477490527
