"adress","rating","nbreviews"
"Mairie du 18e 49 rue des Cloys | On corner with Rue Mont Calm, 75018 Paris, France","4","208"
"6 avenue de New York, 75016 Paris, France","4.5","624"
"36 rue de Grenelle | 75007, 75007 Paris, France","4","762"
"226 rue de Rivoli, 75001 Paris, France","4","10842"
"20 rue d Artois, 75008 Paris, France","4","256"
"21 rue Marbeuf, 75008 Paris, France","3.5","5"
"38 rue Reaumur, 75003 Paris, France","4.5","350"
"188 avenue Jean Jaures, 75019 Paris, France","4","1158"
"14 rue de Monttessuy, 75007 Paris, France","4.5","978"
"52 rue Francois Miron | 75004 PARIS, 75004 Paris, France","4.5","1194"
"5 rue Dante, 75005 Paris, France","4","173"
"20 rue des Fosses Saint Bernard, 75005 Paris, France","4.5","285"
"25 rue le Peletier | 75009, 75009 Paris, France","4","1458"
"6 rue Coquilliere, 75001 Paris, France","3.5","4175"
"40 rue Gabriel Lame, 75012 Paris, France","4","1202"
"30, rue de St-Louis-en-l'Ile, 75004 Paris, France","4","589"
"41 rue de Croulebarbe, 75013 Paris, France","4","288"
"54 rue de Bourgogne, 75007 Paris, France","4.5","535"
"63 rue Falguiere, 75015 Paris, France","4","391"
"32 rue Saint Marc, 75002 Paris, France","4","831"
"1 rue Jacquard, 75011 Paris, France","4","293"
"44 rue Jean Goujon, 75008 Paris, France","4","184"
"15 Place Vendome, 75001 Paris, France","4","201"
"38 rue des Tournelles | Bastille, Place des Vosges, Chemin vert, Opera de Bastille, 75004 Paris, France (Formerly Baracane)","4.5","855"
"72 quai de l Hotel de Ville, 75004 Paris, France","4.5","739"
"28 rue le Sueur, 75116 Paris, France","4","117"
"20 rue Saint Martin, 75004 Paris, France","4","1727"
"40 rue de l Universite, 75007 Paris, France","4.5","183"
"Boulevard Haussmann | 97, Boulevard Haussmann, 75008 Paris, France","4.5","287"
"4 rue des Petits Champs, 75002 Paris, France","4","786"
"3 rue Racine, 75006 Paris, France","4","1933"
"49 rue des Ecoles, 75005 Paris, France","3.5","1008"
"5 rue de la Bastille, 75004 Paris, France","3.5","3909"
"55 quai de Bourbon, 75004 Paris, France","3.5","502"
"7, cours des Petites Ecuries, 75010 Paris, France","4","1087"
"16, Rue du Faubourg | Saint-Denis, 75010 Paris, France","3.5","1954"
"21 B boulevard Diderot, 75012 Paris, France","3.5","2092"
"2 Place des Ternes, 75008 Paris, France","3.5","1419"
"151 boulevard Saint Germain, 75006 Paris, France","3.5","2872"
"45 boulevard Raspail, 75006 Paris, France","3.5","282"
"115 rue Saint Lazare | Face à la Gare Saint-Lazare, 75008 Paris, France","3.5","2053"
"17 rue des Ecoles, 75005 Paris, France","4","1016"
"8 rue Boissy D Anglas, 75008 Paris, France","3.5","2903"
"117 avenue du General Leclerc, 75014 Paris, France","3","205"
"6 rue d Armaille, 75017 Paris, France","4.5","511"
"139 rue Saint Dominique, 75007 Paris, France","4","2638"
"172 boulevard Saint Germain, 75006 Paris, France","3.5","3305"
"5 Place de l'Opera, 75009 Paris, France","4","4342"
"11 rue Augereau, 75007 Paris, France","4.5","446"
"77 rue de Varenne, 75007 Paris, France","4","258"
